Assembly, ClassName
Microsoft.AspNet.FriendlyUrls.dll, Microsoft.AspNet.FriendlyUrls.FriendlyUrlRoute+AuthorizationFailedRouteHandler+AuthorizationFailedHttpHandler
Microsoft.AspNet.FriendlyUrls.dll, Microsoft.AspNet.FriendlyUrls.RouteCollectionExtensions+SwitchViewRouteHandler+SwitchViewHandler
web_form_study.dll, web_form_study.Global
web_form_study.dll, web_form_study.viewstate.index
web_form_study.dll, web_form_study.upload.index
web_form_study.dll, web_form_study.transfer.index
web_form_study.dll, web_form_study.session.index
web_form_study.dll, web_form_study.session.login
web_form_study.dll, web_form_study.request.index
web_form_study.dll, web_form_study.postback.index
web_form_study.dll, web_form_study.pages._base
web_form_study.dll, web_form_study.handler.Hello
web_form_study.dll, web_form_study.handler.MyHandler
web_form_study.dll, web_form_study.cookie.index
web_form_study.dll, web_form_study.cookie.login
